_id,Proposal Number:,institution,country,role
5123,NPRP 09 - 215 - 3 - 049,Lebanese American University,Lebanon,Collaborative Institution
5124,NPRP 09 - 214 - 2 - 090,Qatar University,Qatar,Submitting Institution
5125,NPRP 09 - 214 - 2 - 090,Qatar University,Qatar,Performance Site
5126,NPRP 09 - 214 - 2 - 090,University of Washington,United States,Performance Site
5127,NPRP 09 - 214 - 2 - 090,University of Washington,United States,Collaborative Institution
5128,NPRP 09 - 211 - 2 - 089,Qatar University,Qatar,Submitting Institution
5129,NPRP 09 - 211 - 2 - 089,Qatar University,Qatar,Performance Site
5130,NPRP 09 - 211 - 2 - 089,University of British Columbia,Canada,Performance Site
5131,NPRP 09 - 211 - 2 - 089,University of British Columbia,Canada,Collaborative Institution
5132,NPRP 09 - 180 - 2 - 078,Qatar University,Qatar,Submitting Institution
5133,NPRP 09 - 180 - 2 - 078,University of Texas at Austin,United States,Performance Site
5134,NPRP 09 - 180 - 2 - 078,Lebanese American University,Lebanon,Performance Site
5135,NPRP 09 - 180 - 2 - 078,Qatar University,Qatar,Performance Site
5136,NPRP 09 - 180 - 2 - 078,American University of Beirut,Lebanon,Performance Site
5137,NPRP 09 - 180 - 2 - 078,American University of Beirut,Lebanon,Collaborative Institution
5138,NPRP 09 - 180 - 2 - 078,Lebanese American University,Lebanon,Collaborative Institution
5139,NPRP 09 - 175 - 1 - 030,Aquamed ME,Qatar,Submitting Institution
5140,NPRP 09 - 175 - 1 - 030,University of Helsinki,Finland,Performance Site
5141,NPRP 09 - 175 - 1 - 030,Aquamed ME,Qatar,Performance Site
5142,NPRP 09 - 175 - 1 - 030,University of Helsinki,Finland,Collaborative Institution
5143,NPRP 09 - 157 - 1 - 024,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
5144,NPRP 09 - 157 - 1 - 024,Texas A&amp;M University - College Station,United States,Performance Site
5145,NPRP 09 - 157 - 1 - 024,Texas A&amp;M University at Qatar,Qatar,Performance Site
5146,NPRP 09 - 157 - 1 - 024,Texas A&amp;M University,United States,Collaborative Institution
5147,NPRP 09 - 155 - 2 - 066,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
5148,NPRP 09 - 155 - 2 - 066,Texas A&amp;M University at Qatar,Qatar,Performance Site
5149,NPRP 09 - 155 - 2 - 066,American University of Beirut,Lebanon,Performance Site
5150,NPRP 09 - 155 - 2 - 066,American University of Beirut,Lebanon,Collaborative Institution
5151,NPRP 09 - 145 - 2 - 061,Qatar University,Qatar,Submitting Institution
5152,NPRP 09 - 145 - 2 - 061,Qatar University,Qatar,Performance Site
5153,NPRP 09 - 145 - 2 - 061,Northeastern University,United States,Performance Site
5154,NPRP 09 - 145 - 2 - 061,Northeastern University,United States,Collaborative Institution
5155,NPRP 09 - 143 - 1 - 022,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
5156,NPRP 09 - 143 - 1 - 022,Texas A&amp;M University at Qatar,Qatar,Performance Site
5157,NPRP 09 - 143 - 1 - 022,Texas Christian University,United States,Performance Site
5158,NPRP 09 - 143 - 1 - 022,Texas Christian University,United States,Collaborative Institution
5159,NPRP 09 - 138 - 2 - 059,Qatar University,Qatar,Submitting Institution
5160,NPRP 09 - 138 - 2 - 059,Qatar University,Qatar,Performance Site
5161,NPRP 09 - 138 - 2 - 059,"Herriot Watt University, Dubai Campus",United Arab Emirates,Performance Site
5162,NPRP 09 - 138 - 2 - 059,University of Leeds,United Kingdom,Collaborative Institution
5163,NPRP 09 - 129 - 1 - 018,Qatar University,Qatar,Submitting Institution
5164,NPRP 09 - 129 - 1 - 018,Qatar University,Qatar,Performance Site
5165,NPRP 09 - 129 - 1 - 018,Bangor University,United Kingdom,Performance Site
5166,NPRP 09 - 129 - 1 - 018,Bangor University,United Kingdom,Collaborative Institution
5167,NPRP 09 - 126 - 2 - 054,Qatar University,Qatar,Submitting Institution
5168,NPRP 09 - 126 - 2 - 054,Concordia University,Canada,Performance Site
5169,NPRP 09 - 126 - 2 - 054,Qatar University,Qatar,Performance Site
5170,NPRP 09 - 126 - 2 - 054,Hong Kong University of Science and Technology,Hong Kong,Performance Site
5171,NPRP 09 - 126 - 2 - 054,Hong Kong University of Science and Technology,Hong Kong,Collaborative Institution
5172,NPRP 09 - 126 - 2 - 054,Concordia University,Canada,Collaborative Institution
5173,NPRP 09 - 1211 - 2 - 475,Qatar University,Qatar,Submitting Institution
5174,NPRP 09 - 1211 - 2 - 475,Florida International University,United States,Performance Site
5175,NPRP 09 - 1211 - 2 - 475,Rensselaer Polytechnic Institute,United States,Performance Site
5176,NPRP 09 - 1211 - 2 - 475,Qatar University,Qatar,Performance Site
5177,NPRP 09 - 1211 - 2 - 475,"University of California, Santa Barbara",United States,Performance Site
5178,NPRP 09 - 1211 - 2 - 475,Korea Advanced Institute of Science and Technology,"Korea, South",Collaborative Institution
5179,NPRP 09 - 1211 - 2 - 475,"University of California, Santa Barbara",United States,Collaborative Institution
5180,NPRP 09 - 1211 - 2 - 475,Rensselaer Polytechnic Institute,United States,Collaborative Institution
5181,NPRP 09 - 1211 - 2 - 475,Florida International University,United States,Collaborative Institution
5182,NPRP 09 - 1205 - 2 - 470,Qatar University,Qatar,Submitting Institution
5183,NPRP 09 - 1205 - 2 - 470,Ahmed Bin Mohamed Military College - Qatar,Qatar,Performance Site
5184,NPRP 09 - 1205 - 2 - 470,West Virginia University,United States,Performance Site
5185,NPRP 09 - 1205 - 2 - 470,Qatar University,Qatar,Performance Site
5186,NPRP 09 - 1205 - 2 - 470,"Arab Academy for Science, Technology &amp; Maritime Transport",Egypt,Performance Site
5187,NPRP 09 - 1205 - 2 - 470,"Arab Academy for Science, Technology &amp; Maritime Transport",Egypt,Collaborative Institution
5188,NPRP 09 - 1205 - 2 - 470,West Virginia University,United States,Collaborative Institution
5189,NPRP 09 - 1205 - 2 - 470,Ahmed Bin Mohamed Military College - Qatar,Qatar,Collaborative Institution
5190,NPRP 09 - 1183 - 2 - 461,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
5191,NPRP 09 - 1183 - 2 - 461,Texas A&amp;M University at Qatar,Qatar,Performance Site
5192,NPRP 09 - 1183 - 2 - 461,Texas A&amp;M University - College Station,United States,Collaborative Institution
5193,NPRP 09 - 1174 - 3 - 291,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
5194,NPRP 09 - 1174 - 3 - 291,Weill Cornell Medical College in Qatar,Qatar,Performance Site
5195,NPRP 09 - 1174 - 3 - 291,Pierre and Marie Curie University,France,Performance Site
5196,NPRP 09 - 1174 - 3 - 291,Hamad Medical Corporation,Qatar,Collaborative Institution
5197,NPRP 09 - 1174 - 3 - 291,Institut national de la santé et de la recherche médicale (INSERM),France,Collaborative Institution
5198,NPRP 09 - 1168 - 2 - 455,Qatar University,Qatar,Submitting Institution
5199,NPRP 09 - 1168 - 2 - 455,Ohio State University,United States,Performance Site
5200,NPRP 09 - 1168 - 2 - 455,Qatar University,Qatar,Performance Site
5201,NPRP 09 - 1168 - 2 - 455,Nile University,Egypt,Performance Site
5202,NPRP 09 - 1168 - 2 - 455,Nile University,Egypt,Collaborative Institution
5203,NPRP 09 - 1168 - 2 - 455,Ohio State University,United States,Collaborative Institution
5204,NPRP 09 - 1159 - 2 - 4,Qatar University,Qatar,Submitting Institution
5205,NPRP 09 - 1159 - 2 - 4,Qatar University,Qatar,Performance Site
5206,NPRP 09 - 1153 - 2 - 450,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
5207,NPRP 09 - 1153 - 2 - 450,Texas A&amp;M University at Qatar,Qatar,Performance Site
5208,NPRP 09 - 1153 - 2 - 450,Texas A&amp;M University - College Station,United States,Performance Site
5209,NPRP 09 - 1153 - 2 - 450,Texas A&amp;M University - College Station,United States,Collaborative Institution
5210,NPRP 09 - 1150 - 2 - 448,Qatar University,Qatar,Submitting Institution
5211,NPRP 09 - 1150 - 2 - 448,Qatar University,Qatar,Performance Site
5212,NPRP 09 - 1150 - 2 - 448,Imperial College London,United Kingdom,Performance Site
5213,NPRP 09 - 1150 - 2 - 448,Imperial College London,United Kingdom,Collaborative Institution
5214,NPRP 09 - 1147 - 3 - 284,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
5215,NPRP 09 - 1147 - 3 - 284,Weill Cornell Medical College in Qatar,Qatar,Performance Site
5216,NPRP 09 - 1147 - 3 - 284,Harvard University,United States,Performance Site
5217,NPRP 09 - 1147 - 3 - 284,Harvard University,United States,Collaborative Institution
5218,NPRP 09 - 1140 - 1 - 177,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
5219,NPRP 09 - 1140 - 1 - 177,Carnegie Mellon University - Qatar,Qatar,Performance Site
5220,NPRP 09 - 1140 - 1 - 177,Carnegie Mellon University,United States,Performance Site
5221,NPRP 09 - 1140 - 1 - 177,Carnegie Mellon University,United States,Collaborative Institution
5222,NPRP 09 - 113 - 5 - 014,Qatar University,Qatar,Submitting Institution
5223,NPRP 09 - 113 - 5 - 014,Qatar University,Qatar,Performance Site
5224,NPRP 09 - 113 - 5 - 014,York University,Canada,Performance Site
5225,NPRP 09 - 113 - 5 - 014,York University,Canada,Collaborative Institution
5226,NPRP 09 - 1116 - 1 - 172,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
5227,NPRP 09 - 1116 - 1 - 172,Qatar University,Qatar,Performance Site
5228,NPRP 09 - 1116 - 1 - 172,Texas A&amp;M University at Qatar,Qatar,Performance Site
5229,NPRP 09 - 1116 - 1 - 172,Carnegie Mellon University - Qatar,Qatar,Performance Site
5230,NPRP 09 - 1116 - 1 - 172,Carnegie Mellon University,United States,Performance Site
5231,NPRP 09 - 1116 - 1 - 172,Carnegie Mellon University,United States,Collaborative Institution
5232,NPRP 09 - 1116 - 1 - 172,Texas A&amp;M University at Qatar,Qatar,Collaborative Institution
5233,NPRP 09 - 1116 - 1 - 172,Qatar University,Qatar,Collaborative Institution
5234,NPRP 09 - 1113 - 1 - 171,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
5235,NPRP 09 - 1113 - 1 - 171,Carnegie Mellon University,United States,Performance Site
5236,NPRP 09 - 1113 - 1 - 171,Carnegie Mellon University - Qatar,Qatar,Performance Site
5237,NPRP 09 - 1113 - 1 - 171,University of Arizona,United States,Performance Site
5238,NPRP 09 - 1113 - 1 - 171,University of Arizona,United States,Collaborative Institution
5239,NPRP 09 - 1113 - 1 - 171,Carnegie Mellon University,United States,Collaborative Institution
5240,NPRP 09 - 1107 - 1 - 168,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
5241,NPRP 09 - 1107 - 1 - 168,Carnegie Mellon University - Qatar,Qatar,Performance Site
5242,NPRP 09 - 1107 - 1 - 168,Carnegie Mellon University,United States,Performance Site
5243,NPRP 09 - 1107 - 1 - 168,Carnegie Mellon University,United States,Collaborative Institution
5244,NPRP 09 - 1099 - 3 - 279,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
5245,NPRP 09 - 1099 - 3 - 279,Weill Cornell Medical College in Qatar,Qatar,Performance Site
5246,NPRP 09 - 1099 - 3 - 279,Cornell University - Ithaca,United States,Performance Site
5247,NPRP 09 - 1099 - 3 - 279,Cornell University - Ithaca,United States,Collaborative Institution
5248,NPRP 09 - 1087 - 3 - 274,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
5249,NPRP 09 - 1087 - 3 - 274,Weill Cornell Medical College in Qatar,Qatar,Performance Site
5250,NPRP 09 - 1087 - 3 - 274,Monash University,Australia,Performance Site
5251,NPRP 09 - 1087 - 3 - 274,Monash University,Australia,Collaborative Institution
5252,NPRP 09 - 1083 - 6 - 023,Qatar University,Qatar,Submitting Institution
5253,NPRP 09 - 1083 - 6 - 023,Qatar University,Qatar,Performance Site
5254,NPRP 09 - 1083 - 6 - 023,Technische Universität München,Germany,Performance Site
5255,NPRP 09 - 1083 - 6 - 023,Technische Universität München,Germany,Collaborative Institution
5256,NPRP 09 - 1050 - 2 - 405,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
5257,NPRP 09 - 1050 - 2 - 405,Texas A&amp;M University - College Station,United States,Performance Site
5258,NPRP 09 - 1050 - 2 - 405,Reservoir Engineering Research Institute,United States,Performance Site
5259,NPRP 09 - 1050 - 2 - 405,Texas A&amp;M University at Qatar,Qatar,Performance Site
5260,NPRP 09 - 1050 - 2 - 405,Texas A&amp;M University,United States,Collaborative Institution
5261,NPRP 09 - 1050 - 2 - 405,University of Oklahoma,United States,Collaborative Institution
5262,NPRP 09 - 1050 - 2 - 405,Reservoir Engineering Research Institute,United States,Collaborative Institution
5263,NPRP 09 - 1043 - 2 - 404,Qatar University,Qatar,Submitting Institution
5264,NPRP 09 - 1043 - 2 - 404,Université Laval,Canada,Performance Site
5265,NPRP 09 - 1043 - 2 - 404,Qatar University,Qatar,Performance Site
5266,NPRP 09 - 1043 - 2 - 404,McGill University,Canada,Performance Site
5267,NPRP 09 - 1043 - 2 - 404,McGill University,Canada,Collaborative Institution
5268,NPRP 09 - 1043 - 2 - 404,Université Laval,Canada,Collaborative Institution
5269,NPRP 09 - 1023 - 5 - 158,Qatar University,Qatar,Submitting Institution
5270,NPRP 09 - 1023 - 5 - 158,Qatar University,Qatar,Performance Site
5271,NPRP 09 - 1023 - 5 - 158,American University of Beirut,Lebanon,Performance Site
5272,NPRP 09 - 1023 - 5 - 158,Brunel University,United Kingdom,Performance Site
5273,NPRP 09 - 1023 - 5 - 158,Ministry of Transport and Communications,Qatar,Performance Site
5274,NPRP 09 - 1023 - 5 - 158,Office of the Minister of State for Administrative Reform (OMSAR),Lebanon,Performance Site
5275,NPRP 09 - 1023 - 5 - 158,American University of Beirut,Lebanon,Collaborative Institution
5276,NPRP 09 - 1023 - 5 - 158,Brunel University,United Kingdom,Collaborative Institution
5277,NPRP 09 - 1011 - 3 - 260,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
5278,NPRP 09 - 1011 - 3 - 260,Weill Cornell Medical College in Qatar,Qatar,Performance Site
5279,NPRP 09 - 1011 - 3 - 260,Weill Cornell Medical College,United States,Performance Site
5280,NPRP 09 - 1011 - 3 - 260,Weill Cornell Medical College,United States,Collaborative Institution
5281,NPRP 09 - 1001 - 2 - 391,Qatar University,Qatar,Submitting Institution
5282,NPRP 09 - 1001 - 2 - 391,Texas A&amp;M University at Qatar,Qatar,Performance Site
5283,NPRP 09 - 1001 - 2 - 391,Texas A&amp;M University - College Station,United States,Performance Site
5284,NPRP 09 - 1001 - 2 - 391,Qatar University,Qatar,Performance Site
5285,NPRP 09 - 1001 - 2 - 391,Spiretronic LLC,United States,Performance Site
5286,NPRP 09 - 1001 - 2 - 391,Spiretronic LLC,United States,Collaborative Institution
5287,NPRP 09 - 1001 - 2 - 391,Texas A&amp;M University - College Station,United States,Collaborative Institution
5288,NPRP 09 - 1001 - 2 - 391,Texas A&amp;M University at Qatar,Qatar,Collaborative Institution
5289,NPRP 09 - 079 - 1 - 013,Qatar University,Qatar,Submitting Institution
5290,NPRP 09 - 079 - 1 - 013,Qatar University,Qatar,Performance Site
5291,NPRP 09 - 079 - 1 - 013,University of Western Sydney,Australia,Performance Site
5292,NPRP 09 - 079 - 1 - 013,University of Western Sydney,Australia,Collaborative Institution
5293,NPRP 09 - 069 - 1 - 009,Qatar University,Qatar,Submitting Institution
5294,NPRP 09 - 069 - 1 - 009,Qatar University,Qatar,Performance Site
5295,NPRP 09 - 069 - 1 - 009,Swinburne University of Technology,Australia,Performance Site
5296,NPRP 09 - 069 - 1 - 009,Swinburne University of Technology,Australia,Collaborative Institution
5297,NPRP 09 - 062 - 2 - 035,Qatar University,Qatar,Submitting Institution
5298,NPRP 09 - 062 - 2 - 035,Qatar University,Qatar,Performance Site
5299,NPRP 09 - 062 - 2 - 035,University of Texas at Dallas,United States,Performance Site
5300,NPRP 09 - 062 - 2 - 035,University of Texas at Dallas,United States,Collaborative Institution
5301,NPRP 09 - 052 - 5 - 003,Qatar University,Qatar,Submitting Institution
5302,NPRP 09 - 052 - 5 - 003,University of Ottawa,Canada,Performance Site
5303,NPRP 09 - 052 - 5 - 003,Shafallah Medical Genetics Centre,Qatar,Performance Site
5304,NPRP 09 - 052 - 5 - 003,Qatar University,Qatar,Performance Site
5305,NPRP 09 - 052 - 5 - 003,University of Ottawa,Canada,Collaborative Institution
5306,NPRP 09 - 047 - 3 - 012,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
5307,NPRP 09 - 047 - 3 - 012,Weill Medical College - New York,United States,Performance Site
5308,NPRP 09 - 047 - 3 - 012,Weill Cornell Medical College in Qatar,Qatar,Performance Site
5309,NPRP 09 - 047 - 3 - 012,American University of Beirut,Lebanon,Performance Site
5310,NPRP 09 - 047 - 3 - 012,American University of Beirut,Lebanon,Collaborative Institution
5311,NPRP 09 - 047 - 3 - 012,Weill Medical College - New York,United States,Collaborative Institution
5312,NPRP 09 - 046 - 6 - 001,Qatar University,Qatar,Submitting Institution
5313,NPRP 09 - 046 - 6 - 001,Qatar University,Qatar,Performance Site
5314,NPRP 09 - 046 - 6 - 001,University of Manchester,United Kingdom,Performance Site
5315,NPRP 09 - 046 - 6 - 001,University of Manchester,United Kingdom,Collaborative Institution
5316,NPRP 09 - 045 - 3 - 011,Hamad Medical Corporation,Qatar,Submitting Institution
5317,NPRP 09 - 045 - 3 - 011,Hamad Medical Corporation,Qatar,Performance Site
5318,NPRP 09 - 045 - 3 - 011,Mayo Clinic College of Medicine,United States,Performance Site
5319,NPRP 09 - 045 - 3 - 011,Mayo Clinic College of Medicine,United States,Collaborative Institution
5320,NPRP 09 - 016 - 2 - 012,Qatar University,Qatar,Submitting Institution
5321,NPRP 09 - 016 - 2 - 012,École Polytechnique de Montréal,Canada,Performance Site
5322,NPRP 09 - 016 - 2 - 012,Qatar University,Qatar,Performance Site
5323,NPRP 09 - 016 - 2 - 012,University of Tehran,Iran,Performance Site
5324,NPRP 09 - 016 - 2 - 012,University of Tehran,Iran,Collaborative Institution
5325,NPRP 09 - 016 - 2 - 012,École Polytechnique de Montréal,Canada,Collaborative Institution
5326,NPRP 09 - 002 - 2 - 001,EADS CCQ QSTP LLC,Qatar,Submitting Institution
5327,NPRP 09 - 002 - 2 - 001,University of Auckland,New Zealand,Performance Site
5328,NPRP 09 - 002 - 2 - 001,EADS CCQ QSTP LLC,Qatar,Performance Site
5329,NPRP 09 - 002 - 2 - 001,University of Auckland,New Zealand,Collaborative Institution
5330,NPRP 08 - 783 - 6 - 017,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
5331,NPRP 08 - 783 - 6 - 017,Georgetown University School of Foreign Service in Qatar,Qatar,Performance Site
5332,NPRP 08 - 783 - 6 - 017,Georgetown University,United States,Performance Site
5333,NPRP 08 - 783 - 6 - 017,Georgetown University,United States,Collaborative Institution
5334,NPRP 08 - 777 - 1 - 141,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
5335,NPRP 08 - 777 - 1 - 141,Texas A&amp;M University - College Station,United States,Performance Site
5336,NPRP 08 - 777 - 1 - 141,Texas A&amp;M University - College Station,United States,Collaborative Institution
5337,NPRP 08 - 760 - 3 - 153,Hamad Medical Corporation,Qatar,Submitting Institution
5338,NPRP 08 - 760 - 3 - 153,Hamad Medical Corporation,Qatar,Performance Site
5339,NPRP 08 - 760 - 3 - 153,Cincinnati Children's Hospital Medical Center,United States,Performance Site
5340,NPRP 08 - 760 - 3 - 153,Cincinnati Children's Hospital Medical Center,United States,Collaborative Institution
5341,NPRP 08 - 746 - 2 - 318,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
5342,NPRP 08 - 746 - 2 - 318,Texas A&amp;M University at Qatar,Qatar,Performance Site
5343,NPRP 08 - 746 - 2 - 318,Texas A&amp;M University - College Station,United States,Performance Site
5344,NPRP 08 - 746 - 2 - 318,Texas A&amp;M University - College Station,United States,Collaborative Institution
5345,NPRP 08 - 740 - 3 - 148,Qatar University,Qatar,Submitting Institution
5346,NPRP 08 - 740 - 3 - 148,Qatar University,Qatar,Performance Site
5347,NPRP 08 - 740 - 3 - 148,Georgetown University,United States,Performance Site
5348,NPRP 08 - 740 - 3 - 148,Qatar University,Qatar,Collaborative Institution
5349,NPRP 08 - 740 - 3 - 148,Georgetown University,United States,Collaborative Institution
5350,NPRP 08 - 738 - 5 - 107,Qatar University,Qatar,Submitting Institution
5351,NPRP 08 - 738 - 5 - 107,Qatar University,Qatar,Performance Site
5352,NPRP 08 - 738 - 5 - 107,Hamad Medical Corporation,Qatar,Performance Site
5353,NPRP 08 - 738 - 5 - 107,Newcastle University,United Kingdom,Performance Site
5354,NPRP 08 - 738 - 5 - 107,Jordan University of Science and Technology,Jordan,Performance Site
5355,NPRP 08 - 738 - 5 - 107,Jeddah Institute for Speech &amp; Hearing,Saudi Arabia,Performance Site
5356,NPRP 08 - 738 - 5 - 107,King Saud University,Saudi Arabia,Performance Site
5357,NPRP 08 - 738 - 5 - 107,Jeddah Institute for Speech &amp; Hearing,Saudi Arabia,Collaborative Institution
5358,NPRP 08 - 738 - 5 - 107,Jordan University of Science and Technology,Jordan,Collaborative Institution
5359,NPRP 08 - 738 - 5 - 107,Newcastle University,United Kingdom,Collaborative Institution
5360,NPRP 08 - 738 - 5 - 107,Qatar University,Qatar,Collaborative Institution
5361,NPRP 08 - 738 - 5 - 107,Hamad Medical Corporation,Qatar,Collaborative Institution
5362,NPRP 08 - 718 - 5 - 104,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
5363,NPRP 08 - 718 - 5 - 104,Georgetown University School of Foreign Service in Qatar,Qatar,Performance Site
5364,NPRP 08 - 710 - 6 - 015,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
5365,NPRP 08 - 710 - 6 - 015,Georgetown University School of Foreign Service in Qatar,Qatar,Performance Site
5366,NPRP 08 - 710 - 6 - 015,Georgetown University,United States,Performance Site
5367,NPRP 08 - 710 - 6 - 015,Georgetown University,United States,Collaborative Institution
5368,NPRP 08 - 705 - 3 - 144,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
5369,NPRP 08 - 705 - 3 - 144,Weill Cornell Medical College in Qatar,Qatar,Performance Site
5370,NPRP 08 - 705 - 3 - 144,Stevens Institute of Technology,United States,Performance Site
5371,NPRP 08 - 705 - 3 - 144,Norwegian University of Science and Technology,Norway,Performance Site
5372,NPRP 08 - 705 - 3 - 144,Norwegian University of Science and Technology,Norway,Collaborative Institution
5373,NPRP 08 - 705 - 3 - 144,Weill Cornell Medical College in Qatar,Qatar,Collaborative Institution
5374,NPRP 08 - 705 - 3 - 144,Stevens Institute of Technology,United States,Collaborative Institution
5375,NPRP 08 - 700 - 2 - 296,Qatar University,Qatar,Submitting Institution
5376,NPRP 08 - 700 - 2 - 296,Qatar University,Qatar,Performance Site
5377,NPRP 08 - 700 - 2 - 296,McGill University,Canada,Performance Site
5378,NPRP 08 - 700 - 2 - 296,McGill University,Canada,Collaborative Institution
5379,NPRP 08 - 693 - 2 - 290,Qatar University,Qatar,Submitting Institution
5380,NPRP 08 - 693 - 2 - 290,Qatar University,Qatar,Performance Site
5381,NPRP 08 - 693 - 2 - 290,University of British Columbia,Canada,Performance Site
5382,NPRP 08 - 693 - 2 - 290,University of British Columbia,Canada,Collaborative Institution
5383,NPRP 08 - 691 - 2 - 289,Qatar University,Qatar,Submitting Institution
5384,NPRP 08 - 691 - 2 - 289,Texas A&amp;M University - College Station,United States,Performance Site
5385,NPRP 08 - 691 - 2 - 289,National University of Singapore,Singapore,Performance Site
5386,NPRP 08 - 691 - 2 - 289,Qatar University,Qatar,Performance Site
5387,NPRP 08 - 691 - 2 - 289,University College London,United Kingdom,Collaborative Institution
5388,NPRP 08 - 691 - 2 - 289,National University of Singapore,Singapore,Collaborative Institution
5389,NPRP 08 - 691 - 2 - 289,Texas A&amp;M University - College Station,United States,Collaborative Institution
5390,NPRP 08 - 670 - 1 - 124,Qatar University,Qatar,Submitting Institution
5391,NPRP 08 - 670 - 1 - 124,Qatar University,Qatar,Performance Site
5392,NPRP 08 - 670 - 1 - 124,"University of California, Santa Barbara",United States,Performance Site
5393,NPRP 08 - 670 - 1 - 124,"University of California, Santa Barbara",United States,Collaborative Institution
5394,NPRP 08 - 663 - 3 - 140,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
5395,NPRP 08 - 663 - 3 - 140,Weill Cornell Medical College in Qatar,Qatar,Performance Site
5396,NPRP 08 - 663 - 3 - 140,Weill Medical College - New York,United States,Performance Site
5397,NPRP 08 - 663 - 3 - 140,Weill Cornell Medical College,United States,Collaborative Institution
5398,NPRP 08 - 651 - 1 - 116,Qatar University,Qatar,Submitting Institution
5399,NPRP 08 - 651 - 1 - 116,Qatar University,Qatar,Performance Site
5400,NPRP 08 - 651 - 1 - 116,Texas A&amp;M University,United States,Performance Site
5401,NPRP 08 - 651 - 1 - 116,Texas A&amp;M University,United States,Collaborative Institution
5402,NPRP 08 - 643 - 1 - 112,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
5403,NPRP 08 - 643 - 1 - 112,Carnegie Mellon University - Qatar,Qatar,Performance Site
5404,NPRP 08 - 643 - 1 - 112,University of Nottingham,United Kingdom,Performance Site
5405,NPRP 08 - 643 - 1 - 112,University of Nottingham,United Kingdom,Collaborative Institution
5406,NPRP 08 - 634 - 2 - 269,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
5407,NPRP 08 - 634 - 2 - 269,Texas A&amp;M University at Qatar,Qatar,Performance Site
5408,NPRP 08 - 634 - 2 - 269,Texas A&amp;M University - College Station,United States,Collaborative Institution
5409,NPRP 08 - 634 - 2 - 269,University of Utah,United States,Collaborative Institution
5410,NPRP 08 - 632 - 3 - 132,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
5411,NPRP 08 - 632 - 3 - 132,Hamad Medical Corporation,Qatar,Performance Site
5412,NPRP 08 - 632 - 3 - 132,Weill Cornell Medical College in Qatar,Qatar,Performance Site
5413,NPRP 08 - 632 - 3 - 132,Weill Medical College - New York,United States,Performance Site
5414,NPRP 08 - 632 - 3 - 132,Weill Cornell Medical College,United States,Collaborative Institution
5415,NPRP 08 - 612 - 3 - 128,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
5416,NPRP 08 - 612 - 3 - 128,Weill Cornell Medical College in Qatar,Qatar,Performance Site
5417,NPRP 08 - 612 - 3 - 128,Cornell University - Ithaca,United States,Performance Site
5418,NPRP 08 - 612 - 3 - 128,Weill Cornell Medical College in Qatar,Qatar,Collaborative Institution
5419,NPRP 08 - 612 - 3 - 128,Cornell University - Ithaca,United States,Collaborative Institution
5420,NPRP 08 - 607 - 1 - 108,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
5421,NPRP 08 - 607 - 1 - 108,Texas A&amp;M University at Qatar,Qatar,Performance Site
5422,NPRP 08 - 607 - 1 - 108,Texas A&amp;M University - College Station,United States,Performance Site
5423,NPRP 08 - 607 - 1 - 108,Texas A&amp;M University - College Station,United States,Collaborative Institution
5424,NPRP 08 - 589 - 2 - 245,Carnegie Mellon University - Qatar,Qatar,Submitting Institution
5425,NPRP 08 - 589 - 2 - 245,Carnegie Mellon University - Qatar,Qatar,Performance Site
5426,NPRP 08 - 589 - 2 - 245,Carnegie Mellon University,United States,Performance Site
5427,NPRP 08 - 589 - 2 - 245,Carnegie Mellon University,United States,Collaborative Institution
5428,NPRP 08 - 583 - 1 - 101,Qatar University,Qatar,Submitting Institution
5429,NPRP 08 - 583 - 1 - 101,Commissariat à l'énergie atomique et aux énergies alternatives (CEA),France,Performance Site
5430,NPRP 08 - 583 - 1 - 101,Qatar University,Qatar,Performance Site
5431,NPRP 08 - 583 - 1 - 101,"Laboratoire ICAR (CNRS/Lyon 2, ENS-Lyon)",France,Collaborative Institution
